=== PHASE 1 start: 750 candidats bruts ===
KEEP 156 343852745 USINAGE-CONDITIONNEMENT RIZ A LA REUNION (UCR (LE PORT, tranche 11)
KEEP 157 452006604 USINAGE CONCEPTION MECANO SOUDEE ASSERV (UCMA (ORANGE, tranche 11)
KEEP 158 492651757 SOCIETE D'USINAGE DROMOISE DE PRECISION - SUD (CHABEUIL, tranche 11)
KEEP 159 448462002 CTU2M - CONCEPTION ET TRAVAUX D'USINAGE, MAIN (SAINT-MARCEL-LES-ANN, tranche 11)
KEEP 160 752808089 SARL U.C.M.A.(USINAGE - CONSTRUCTION MECANIQU (NOUZONVILLE, tranche 11)
KEEP 161 445404833 ETS QUILICHINI (LAVAL, tranche 11)
KEEP 162 352829378 AMGL (LAIZ, tranche 11)
KEEP 163 431340454 F G D (SAINT-CERE, tranche 11)
KEEP 164 480519503 TRAULET (TRAULET USINAGES) (PARIS, tranche 11)
KEEP 165 440020451 TFA (LOCQUELTAS, tranche 11)
KEEP 166 444944771 EDRASTOP COMPOSITE (LE CHAMBON-FEUGEROLL, tranche 11)
KEEP 167 563780261 C E M A (CEMA-UFI-MGDM) (MONTMERLE-SUR-SAONE, tranche 11)
KEEP 168 448175034 BROCELIANDE MECANIQUE DE PRECISION (BROCELIAN (GUER, tranche 11)
KEEP 169 452493901 EST USINAGE (ŒTING, tranche 12)
KEEP 170 504494105 CENTRALU USINAGE (GANNAT, tranche 12)
KEEP 171 400323770 USINAGE FORMAGE PLASTIQUES (UFP) (LE VERSOUD, tranche 12)
KEEP 172 449336312 USINAGE DE COMPOSANTS HORLOGERS (UCH) (VILLARD-SAINT-SAUVEU, tranche 12)
KEEP 173 440602027 PROFILAGE USINAGE MARANDAIS (MARANS, tranche 12)
KEEP 174 339330482 USINAGE NUMERIQUE DE LA MAYENNE (GROUPE SAMYN (ERNEE, tranche 12)
KEEP 175 478500275 USINAGE DE COMPIEGNE SAS (VENETTE, tranche 12)
--- progress: 250 interroges, 175 retenus ---
KEEP 176 403101728 AUTOMATISATION MACHINES USINAGE (ACTEMIUM ANJ (SEGRE-EN-ANJOU BLEU, tranche 12)
KEEP 177 351468277 APPLICATIONS USINAGE DES PLASTIQUES POUR L'IN (VILLERS-COTTERETS, tranche 12)
KEEP 178 351560149 SOCIETE USINAGE DESIGN PRODUCTION (SAINT-MARD, tranche 12)
KEEP 179 314703463 SOCIETE D'USINAGE MODERNE CARBURE ACIER (SUMC (AMBRIERES-LES-VALLEE, tranche 12)
KEEP 180 419763099 A.F.U.M.E. ATELIER DE FABRICATION ET D'USINAG (JARGEAU, tranche 12)
KEEP 181 510180193 ATELIER MECANIQUE THOUARSAIS D'ELECTROEROSION (THOUARS, tranche 12)
KEEP 182 821943008 RGI FRANCE (SAINT-CERE, tranche 12)
KEEP 183 382424356 PERNAT TECHNOLOGIES (SCIONZIER, tranche 12)
KEEP 184 442968889 CONCEPT BOIS COTE D'OPALE (PREURES, tranche 12)
KEEP 185 647150267 DECOLLETAGE GENET (DECOLLETAGE GENET) (HAUTS DE BIENNE, tranche 11)
KEEP 186 341999738 DECOLLETAGE SUR METAUX ETS MARIO (VIELS-MAISONS, tranche 11)
KEEP 187 605620434 DEPERY FRERES DECOLLETAGE (DEP) (SCIONZIER, tranche 11)
KEEP 188 606720670 CARME MARCEL DECOLLETAGE (MARNAZ, tranche 11)
KEEP 189 616880027 SOCIETE DE DECOLLETAGE MOREAU (SAINT-BLIMONT, tranche 11)
KEEP 190 338890064 ABRIAL DECOLLETAGE MECANIQUE INDUSTRIEL (SAINT-MAURICE-DE-LIG, tranche 11)
KEEP 191 476650106 SAMDECO (SOCIETE D' APPLICATION MECANIQUEET D (HONFLEUR, tranche 11)
KEEP 192 613680206 ATELIER DE MECANIQUE CONSTRUCT ASSEMBL (AMCA) (SAINT-PIERRE-DE-BŒUF, tranche 11)
KEEP 193 703780262 SEGEPO DECOLLETAGE (SAINT-LAGER, tranche 12)
KEEP 194 732821236 DECOLLETAGE DE LA GARENNE (ORNANS, tranche 12)
KEEP 195 353153364 DECOLLETAGE DU BAS JURA (DBJ) (VAL SURAN, tranche 12)
KEEP 196 484684477 GAY DECOLLETAGE INDUSTRIES (SAINT-CYR, tranche 12)
KEEP 197 309123701 DECOLLETAGE DE BASSE NORMANDIE (DBN) (BAYEUX, tranche 12)
KEEP 198 422289835 ATELIER DE DECOLLETAGE DE BIGORRE (ADB) (LOUEY, tranche 12)
KEEP 199 582005799 LA MAISON DU DECOLLETAGE ET DU PIVOTAGE (MDP) (LA FERTE MACE, tranche 12)
KEEP 200 853761039 ATELIER MECANIQUE DECOLLETAGE SANDERON (AMD S (COURPIERE, tranche 12)
--- progress: 275 interroges, 200 retenus ---
KEEP 201 389998857 SAVOIE LOIRE DECOLLETAGE MECANIQUE (LA TALAUDIERE, tranche 12)
KEEP 202 419039888 ATELIER DECOLLETAGE MECANIQUE ISERE (ADEMIS) (GRENOBLE, tranche 12)
KEEP 203 312424153 MONT BLANC PRODUCTIONS GROUPE DECOLLETAGE MEC (SALLANCHES, tranche 12)
KEEP 204 382376945 DECOLLETAGE DE LA CASCADE THEVENET MICHEL ET  (MAGLAND, tranche 12)
KEEP 205 314924721 DECO PREM (MARNAZ, tranche 12)
KEEP 206 537381485 SIS INDUSTRIE (SIS DECOLLETAGE) (SALLANCHES, tranche 12)
KEEP 207 350130779 ICM INDUSTRIE LYON (ICM INDUSTRIE LYON) (DNPI (CHASSIEU, tranche 12)
KEEP 208 586350191 MASSARD ET CIE (GOUJONS, GOUJON, TIRANTS, TIR (BAS-EN-BASSET, tranche 12)
KEEP 209 413488784 ALVEOLAIRE (ALVEOLAIRE) (BAZEILLES, tranche 11)
KEEP 210 392445532 ARDENCA SA (MOUZON, tranche 11)
KEEP 211 392445466 ARDEN PLAST SAS (MOUZON, tranche 12)
KEEP 212 384825014 CGS PLASTIQUE (LORIOL-SUR-DROME, tranche 12)
KEEP 213 419436829 VAL DE LOIR INJECTION (MONTOIRE-SUR-LE-LOIR, tranche 11)
KEEP 214 897548194 INJECTION MONTAGE RHONE ALPES (INJECTION MONT (LES NEYROLLES, tranche 11)
KEEP 215 412052235 AMDI - APPLICATIONS MECANIQUES ET DEVELOPPEME (BELLEVILLE-EN-BEAUJO, tranche 11)
KEEP 216 413439506 INJECTION ZAMAK TRAITEMENT (IZT) (SAINT-AMAND-MONTROND, tranche 12)
KEEP 217 491281648 SOCIETE D INJECTION DES LANDES (SILANDES) (MORCENX-LA-NOUVELLE, tranche 12)
KEEP 218 792603797 PRECIS PLASTIC INJECTION (ORLEAT, tranche 12)
KEEP 219 335094280 STE INDUTR DE MICRO INJECTION (SIMI) (DAMPIERRE-LES-BOIS, tranche 12)
KEEP 220 325069821 MOULAGE INDUSTRIEL DE PERSEIGNE (MIP INJECTIO (VILLENEUVE-EN-PERSEI, tranche 12)
KEEP 221 339849952 HYDRAULIQUE 2000 (MOISSY-CRAMAYEL, tranche 12)
KEEP 222 883661217 FONDERIE CAST'AL (VAUX, tranche 11)
KEEP 223 508017548 FONDERIE D'ANJOU (ERDRE-EN-ANJOU, tranche 11)
--- progress: 300 interroges, 223 retenus ---
KEEP 224 652039090 FONDERIE ROGER (EGREVILLE, tranche 11)
KEEP 225 388357386 FONDERIE ROCHE (VEZERONCE-CURTIN, tranche 11)
KEEP 226 348838194 FONDERIE CHAPON (BOBIGNY, tranche 11)
KEEP 227 315383117 SA FONDERIE HADOUX (REIMS, tranche 11)
KEEP 228 424635001 FONDERIES GRAVOUIL (LA BRETONNIERE-LA-CL, tranche 11)
KEEP 229 915279467 INPACTE FONDERIE (AB FONDERIE) (SAINT-GENIS-LAVAL, tranche 11)
KEEP 230 325620094 PACCARD FONDERIE (PACCARD CLOCHES ET CARILLON (SEVRIER, tranche 11)
KEEP 231 808087910 ABILLY FONDERIE (ABILLY, tranche 11)
KEEP 232 808354641 FONDERIE DE MALE (VAL-AU-PERCHE, tranche 11)
KEEP 233 399401348 PROVENCE FONDERIE (PROVENCE FONDERIE) (AUBAGNE, tranche 11)
KEEP 234 331595249 FONDERIES HAMEL (HAYBES, tranche 11)
KEEP 235 335174165 FONDERIE ORTEL (MONTLHERY, tranche 11)
KEEP 236 329642151 SA LA FONDERIE CHAROLLAISE (GENELARD, tranche 11)
KEEP 237 457202349 FONDERIE PENA (MERIGNAC, tranche 11)
KEEP 238 440245488 FONDERIE DOUTRE (FONCHIMA) (LE LION D'ANGERS, tranche 11)
KEEP 239 539021956 FONDERIE DE L'OUANNE (SAINT-GERMAIN-DES-PR, tranche 11)
KEEP 240 339119075 FONDERIE SYLVAIN COMPAGNON (FSC) (CHAUMONTEL, tranche 11)
KEEP 241 961502044 FONDERIE TABOURIN ET BEZILE (VENISSIEUX, tranche 11)
KEEP 242 836450551 FONDERIE D'ALUMINIUM DE FONTENAY (FONTENAY-SUR-LOING, tranche 11)
KEEP 243 879490068 FONDERIE RAPIDE BELFORTAINE (FRB) (OFFEMONT, tranche 11)
KEEP 244 519208086 FONDERIE MONTIGNY ALUMINIUM (FONDERIE MONTIGN (MONTIGNY-SUR-AUBE, tranche 11)
KEEP 245 330526245 SOCIETE DAUPHINOISE DE FONDERIE ET MECANIQUE  (SAINT-SORLIN-DE-MORE, tranche 11)
KEEP 246 519755870 FONDERIE D'ART ET DE PRECISION  F.A.P (FAP) ( (DARDILLY, tranche 11)
KEEP 247 329360424 MAILLEZ-FONDERIE (VAULX-EN-VELIN, tranche 11)
--- progress: 325 interroges, 247 retenus ---
KEEP 248 309421725 FILATURE ARPIN (SEEZ, tranche 11)
KEEP 249 303914550 INDUSTRIELLE COTON MANUFACTURE (SICM) (FLERS, tranche 11)
KEEP 250 422973297 BOUCHERIE DU CENTRE PONT MARAIS (CHERBOURG-EN-COTENTI, tranche 11)
KEEP 251 307050344 SARL SCIERIE CHARLES CUNAT (LE THILLOT, tranche 11)
